env,actors,group_env_actors,run,run_disp,step,value
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,928000,-123.1792221069336
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,968000,62.93202590942383
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1008000,-112.80282592773438
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1048000,-8.293381690979004
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1088000,-129.5802764892578
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1128000,-40.89346694946289
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1168000,-98.7278823852539
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1208000,65.21155548095703
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1248000,-93.95801544189453
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1288000,50.495086669921875
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1328000,18.36250114440918
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1368000,-40.92011260986328
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1408000,-144.73312377929688
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1448000,-21.661144256591797
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1488000,-14.845037460327148
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1528000,-31.26610565185547
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1568000,-68.15412139892578
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1608000,-49.06650924682617
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1648000,10.155342102050781
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1688000,-2.3124327659606934
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1728000,123.07430267333984
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1768000,71.5298080444336
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1808000,59.17874526977539
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1848000,107.88504791259766
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1888000,36.42750549316406
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1928000,111.00487518310547
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,1968000,91.64669036865234
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,2008000,46.49505615234375
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,2048000,69.81707000732422
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,2088000,93.30088806152344
SCEnv,1actor,SCEnv/1actor,run2,run2-r_mappo-Discrete#7212,2128000,115.4937973022461
